ID,name,label,primitives,sectors,error_pct
353,math_catalan,math_catalan,Phi_res,L_KK(9),0.077
354,math_apery,math_apery,"D_BSFG,K_Mex,SSq","L_buoy(6),L_phi(4)",0.344
355,math_khinchin,math_khinchin,"D_BSFG,F_TRZ,K,K_Mex,Phi_res","L_KK(9),L_aether(7),L_buoy(6),L_phi(4)",0.017
356,math_feigenbaum,math_feigenbaum,"D_phys,F_TRZ,K_Mex,Phi_res","L_EH(1),L_KK(9),L_aether(7),L_phi(4)",0.203
357,math_euler_mascheroni,math_euler_mascheroni,"F_TRZ,Phi_res,SSq","L_KK(9),L_aether(7),L_phi(4)",0.194
358,math_glaisher,math_glaisher,"A,D_BSFG,K_Mex,Phi_res","L_KK(9),L_YM(2),L_buoy(6),L_phi(4)",0.540
360,math_twin_prime,math_twin_prime,"F_TRZ,SSq,beta_i","L_aether(7),L_buoy(6),L_phi(4)",0.040
361,math_brun,math_brun,"D_phys,F_TRZ","L_EH(1),L_aether(7)",0.114
362,math_mills,math_mills,"D_phys,K_Mex,beta_i","L_EH(1),L_buoy(6),L_phi(4)",0.584
363,cosmo_baryon_asymmetry,cosmo_baryon_asymmetry,"D_BSFG,F_TRZ","L_aether(7),L_buoy(6)",2.28
364,cosmo_bao_sound_horizon,cosmo_bao_sound_horizon,"D_crit,F_TRZ","L_KK(9),L_aether(7)",4.77
365,cosmo_sigma8,cosmo_sigma8,"F_TRZ,K_Mex,Phi_res","L_KK(9),L_aether(7),L_phi(4)",0.185
366,cosmo_reionization,cosmo_reionization,"D_BSFG,D_phys,Phi_res","L_EH(1),L_KK(9),L_buoy(6)",0.043
367,cosmo_helium,cosmo_helium,"F_TRZ,Phi_res,SSq","L_KK(9),L_aether(7),L_phi(4)",0.020
368,cosmo_deuterium,cosmo_deuterium,"D_BSFG,F_TRZ,K_Mex,Phi_res","L_KK(9),L_aether(7),L_buoy(6),L_phi(4)",1.43
370,cosmo_neff,cosmo_neff,"D_phys,F_TRZ,K_Mex,Phi_res,SSq","L_EH(1),L_KK(9),L_aether(7),L_phi(4)",0.063
371,cosmo_tcmb,cosmo_tcmb,"D_phys,F_TRZ,K,Phi_res","L_EH(1),L_KK(9),L_aether(7),L_phi(4)",0.120
372,cosmo_omega_m,cosmo_omega_m,"F_TRZ,K_Mex,Phi_res,SSq","L_KK(9),L_aether(7),L_phi(4)",0.265
373,sm_delta_cp,sm_delta_cp,"F_TRZ,K_Mex,Phi_res,SSq","L_KK(9),L_aether(7),L_phi(4)",0.641
374,sm_jarlskog,sm_jarlskog,"D_BSFG,F_TRZ,K_Mex,SSq","L_aether(7),L_buoy(6),L_phi(4)",0.463
375,sm_theta23,sm_theta23,"D_phys,F_TRZ,SSq","L_EH(1),L_aether(7),L_phi(4)",0.509
376,sm_top_yukawa,sm_top_yukawa,F_TRZ,L_aether(7),0.362
377,sm_higgs_lambda,sm_higgs_lambda,"F_TRZ,K_Mex,N_ch,SSq","L_aether(7),L_phi(4),master(N=9)",0.106
378,sm_alpha_s,sm_alpha_s,"F_TRZ,K_Mex,Phi_res,SSq","L_KK(9),L_aether(7),L_phi(4)",0.0141
379,sm_cabibbo,sm_cabibbo,"D_phys,F_TRZ,K_Mex","L_EH(1),L_aether(7),L_phi(4)",0.0149
380,sm_proton_g,sm_proton_g,"D_BSFG,D_phys,F_TRZ,Phi_res","L_EH(1),L_KK(9),L_aether(7),L_buoy(6)",0.341
381,sm_mt_mw,sm_mt_mw,"F_TRZ,K_Mex,Phi_res,SSq","L_KK(9),L_aether(7),L_phi(4)",0.008
382,sm_mh_mt,sm_mh_mt,"F_TRZ,K_Mex,SSq,beta_i","L_aether(7),L_buoy(6),L_phi(4)",0.502
383,astro_chandrasekhar,astro_chandrasekhar,"D_phys,F_TRZ","L_EH(1),L_aether(7)",0.0000
384,astro_tov_max,astro_tov_max,"D_phys,F_TRZ,K_Mex,Phi_res,SSq","L_EH(1),L_KK(9),L_aether(7),L_phi(4)",0.075
385,astro_photon_sphere,astro_photon_sphere,"F_TRZ,K_Mex,Phi_res","L_KK(9),L_aether(7),L_phi(4)",0.556
386,astro_isco,astro_isco,D_BSFG,L_buoy(6),0.0000
387,astro_bh_entropy,astro_bh_entropy,"A,D_phys,F_TRZ,K_Mex","L_EH(1),L_YM(2),L_aether(7),L_phi(4)",0.667
388,astro_wd_exponent,astro_wd_exponent,"D_phys,F_TRZ,Phi_res","L_EH(1),L_KK(9),L_aether(7)",0.0000
389,astro_grav_binding,astro_grav_binding,"D_phys,F_TRZ,SSq","L_EH(1),L_aether(7),L_phi(4)",0.0000
390,astro_salpeter_imf,astro_salpeter_imf,"D_BSFG,D_phys,F_TRZ,K_Mex,Phi_res","L_EH(1),L_KK(9),L_aether(7),L_buoy(6),L_phi(4)",0.071
391,astro_ns_compactness,astro_ns_compactness,"D_phys,F_TRZ,K_Mex,SSq","L_EH(1),L_aether(7),L_phi(4)",0.292
392,astro_solar_schwarzschild,astro_solar_schwarzschild,"D_phys,F_TRZ,SSq","L_EH(1),L_aether(7),L_phi(4)",0.283
393,cm_bcs_gap,cm_bcs_gap,"D_BSFG,D_phys,F_TRZ,K_Mex,Phi_res,SSq","L_EH(1),L_KK(9),L_aether(7),L_buoy(6),L_phi(4)",0.350
394,cm_wilson,cm_wilson,"F_TRZ,K_Mex,Phi_res","L_KK(9),L_aether(7),L_phi(4)",0.0000
