SourceFile,ClassName,LineNumber,BaseClass,PhysicsType,MethodSignature
source1.cpp,RamanujanCalculatorDialog,259,QDialog,vacuum,void solveEquations()
source1.cpp,CalculusButtonField,381,QDockWidget,magnetic,
source1.cpp,BrowserWindow,442,QMainWindow,vacuum,
source1.cpp,MainWindow,924,QMainWindow,vacuum,
source2.cpp,RamanujanCalculatorDialog,555,QDialog,gravity,void solveEquations()
source2.cpp,CalculusButtonField,677,QDockWidget,magnetic,
source2.cpp,BrowserWindow,750,QMainWindow,gravity,bytes processed (size * nmemb)
source2.cpp,MainWindow,1854,QMainWindow,gravity,
source3.cpp,RamanujanCalculatorDialog,268,QDialog,vacuum,void solveEquations()
source3.cpp,CalculusButtonField,376,QDockWidget,magnetic,
source3.cpp,BrowserWindow,437,QMainWindow,vacuum,
source3.cpp,MainWindow,918,QMainWindow,vacuum,
source4.cpp,DynamicVacuumTerm,68,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double> & /* params */)"
source4.cpp,QuantumCouplingTerm,96,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double> &params)"
source4.cpp,UQFFModule4,339,standalone,unified,double computeDynamicTerms(double t)
source5.cpp,DarkMatterHaloTerm,83,PhysicsTerm,gravity,"double compute(const std::map<std::string, double> &params)"
source5.cpp,VacuumEnergyTerm,115,PhysicsTerm,vacuum,"double compute(const std::map<std::string, double> &params)"
source5.cpp,UQFFModule5,169,standalone,unified,"double computeDynamicContributions(const std::map<std::string, double> &params)"
source6.cpp,3DObject,1922,standalone,gravity,
source6.cpp,ToolPath,1944,standalone,gravity,
source6.cpp,SimulationEntity,1950,standalone,gravity,
source6.cpp,CoAnQiNode,1962,standalone,gravity,
source7.cpp,3DObject,2249,standalone,gravity,
source7.cpp,ToolPath,2253,standalone,gravity,
source7.cpp,SimulationEntity,2261,standalone,gravity,
source7.cpp,CoAnQiNode,2269,standalone,gravity,
source10.cpp,Source10,130,standalone,nuclear,
source13.cpp,MagnetarSGR1745_2900,48,standalone,magnetic,
source14.cpp,DynamicVacuumTerm,85,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double> &params)"
source14.cpp,QuantumCouplingTerm,114,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double> &params)"
source14.cpp,MagnetarSGR0501_4516,147,standalone,magnetic,
source15.cpp,DynamicVacuumTerm,85,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double> &params)"
source15.cpp,QuantumCouplingTerm,114,PhysicsTerm,vacuum,"double compute(double t, const std::map<std::string, double> &params)"
source15.cpp,SMBHSgrAStar,147,standalone,gravity,
